epoch,train_loss,val_loss
1,0.4799962360991372,0.28059504270553587
2,0.2759098110596339,0.22176080971956252
3,0.2140736680229505,0.18914830714464187
4,0.18536819017595715,0.18720874100923537
5,0.17987566616800096,0.16743679225444794
6,0.1612474020653301,0.14836638659238816
7,0.15612308356497023,0.16530413329601287
8,0.15453387235601743,0.17235823780298232
9,0.1421188744240337,0.14040331095457076
10,0.13595381448666255,0.13661203682422637
11,0.12798474027050866,0.11651589393615723
12,0.12067060581511921,0.11726726144552231
13,0.11494821776946386,0.11375123053789139
14,0.11513752849565612,0.10265407130122185
15,0.10447488500012292,0.12077416062355041
16,0.10426179453730583,0.11060551077127456
17,0.09816239004333814,0.1172748190164566
18,0.09712013845642407,0.10590183526277543
19,0.09656160415874587,0.11340730220079422
20,0.09096790737575955,0.1062033274769783
21,0.08755117388235198,0.10769550055265427
22,0.08474712267518043,0.09277429684996605
23,0.0866235012975004,0.10001942664384841
24,0.08102337179084619,0.10301059022545815
25,0.08077976557943556,0.09586536914110183
26,0.07634254212180773,0.10125551730394364
27,0.0755914703839355,0.1023944729566574
28,0.07041671459045674,0.09418944507837296
29,0.06856484831207328,0.10757406502962112
30,0.06453649496866597,0.09327266499400139
