epoch,train_loss,val_loss,lr
1,0.21232847280489903,0.13811298045538253,0.0005
2,0.1538814079078535,0.09018382254932354,0.0005
3,0.1292803781821082,0.10964822805305915,0.0005
4,0.10848214332324763,0.09868084911757441,0.0005
5,0.0979592804517597,0.08692265285262421,0.0005
6,0.09020739164203405,0.07629251117303745,0.0005
7,0.08739451664189497,0.0676491025473867,0.0005
8,0.08210120926145464,0.06942806380397792,0.0005
9,0.07994082252805432,0.05925025244646553,0.0005
10,0.0760205761436373,0.08593174498250235,0.0005
11,0.073793283343936,0.05766284272575112,0.0005
12,0.07156706981205692,0.05702823126660799,0.0005
13,0.07090452104341238,0.08562110422818518,0.0005
14,0.06983317276773353,0.05392291002086739,0.0005
15,0.06736875516207268,0.0663161651412053,0.0005
16,0.06509368767030538,0.06599382091480405,0.0005
17,0.06434009680214027,0.0578273904245736,0.0005
18,0.06260528813038642,0.06281977700097348,0.0005
19,0.06358924932933102,0.052150624345487624,0.0005
20,0.06040497108673056,0.05245976754700515,0.0005
21,0.05949011971475557,0.048625404883954504,0.0005
22,0.05862979227211326,0.04991872489118754,0.0005
23,0.057439777652422586,0.051949945153362716,0.0005
24,0.05727589407858128,0.05070293924090133,0.0005
25,0.05568694320895399,0.055833618434618655,0.0005
26,0.054434372899122535,0.046905550521923536,0.0005
27,0.054031318567382795,0.0563065325980311,0.0005
28,0.05529050901532173,0.04699332164183481,0.0005
29,0.052123712410684676,0.05404072641325531,0.0005
30,0.05096161321504042,0.049862627996437585,0.0005
31,0.05218388728486995,0.04705109555663457,0.0005
32,0.045838876951796316,0.04412976703815051,0.00025
33,0.04438824131386355,0.05812469299938252,0.00025
34,0.04309316464195338,0.052013731283594426,0.00025
35,0.04286577641187857,0.04619006219028092,0.00025
36,0.04218654532140742,0.04398017273798807,0.00025
37,0.04219865953161692,0.04523733931023683,0.00025
38,0.04108368639446174,0.04341654453092991,0.00025
39,0.042095475185972946,0.04210089621092401,0.00025
40,0.0411164480385681,0.04531534591606304,0.00025
41,0.04103688042533273,0.04813714747998252,0.00025
42,0.040097038083865,0.04454223710153975,0.00025
43,0.03953804941227039,0.04969631948633425,0.00025
44,0.03965378426791479,0.047014960379742864,0.00025
45,0.03630804933219527,0.03919658198980475,0.000125
46,0.03615255687735044,0.040423890103155107,0.000125
47,0.03589442679348091,0.04123664805804616,0.000125
48,0.035208084993840504,0.03960812481036827,0.000125
49,0.03514705795251454,0.0456440349651584,0.000125
50,0.03457647991289074,0.04389568240340076,0.000125
51,0.03401715148395548,0.04036819944575207,6.25e-05
52,0.03279911057131055,0.04073332316144856,6.25e-05
53,0.03289306487965708,0.0428148193646278,6.25e-05
54,0.03259035899226243,0.04340410920610623,6.25e-05
55,0.032440441406021515,0.04150212183594704,6.25e-05
56,0.032189609135190644,0.03958405103923669,3.125e-05
57,0.031878467026011395,0.04167636232311601,3.125e-05
58,0.03154254752676934,0.039753219001551175,3.125e-05
59,0.031439676059720416,0.04170780141017775,3.125e-05
60,0.03207742611489569,0.03962069036744868,3.125e-05
61,0.031455217593659955,0.039281585448379834,1.5625e-05
62,0.031294778481436275,0.03990863139199009,1.5625e-05
63,0.03125631392467767,0.04033096693456173,1.5625e-05
64,0.031218531232249613,0.04007065175240165,1.5625e-05
65,0.031178247142427912,0.04066150206655486,1.5625e-05
