epoch,train_loss,val_loss,lr
1,0.15223163791543656,0.07393099843972237,0.0005
2,0.08884383678799991,0.06934492154892986,0.0005
3,0.07507215923086889,0.07360375783531717,0.0005
4,0.06740326121946819,0.051321916204695894,0.0005
5,0.06263516219997553,0.050132722248278326,0.0005
6,0.05861563425884477,0.09984137995568369,0.0005
7,0.0559294430613752,0.04636390042179783,0.0005
8,0.053634227943033554,0.04474264664262434,0.0005
9,0.051484793766791596,0.04528021218623972,0.0005
10,0.05040241195010876,0.038828689809547685,0.0005
11,0.048899597427036236,0.03966836509807733,0.0005
12,0.04725661104839135,0.03751808059666795,0.0005
13,0.046015815349563005,0.03698191056167474,0.0005
14,0.04515331273105618,0.06387624171517554,0.0005
15,0.043969883821310875,0.03731646616098637,0.0005
16,0.04330543749938173,0.04655949145822031,0.0005
17,0.042425076063920764,0.041996435296354495,0.0005
18,0.04202741697071032,0.03590409851752333,0.0005
19,0.040955302084227145,0.037800371014635493,0.0005
20,0.04054204393736192,0.0387656152521116,0.0005
21,0.03990576061023711,0.03723596144752723,0.0005
22,0.039768228923196536,0.03307277593179025,0.0005
23,0.038629311420362356,0.038513181948051874,0.0005
24,0.03843037569996992,0.031267400003486184,0.0005
25,0.03776707934262506,0.034589699768583705,0.0005
26,0.03744190605925589,0.03292473805711888,0.0005
27,0.03714308538611912,0.03543545691429726,0.0005
28,0.03684195291065644,0.03564853545358891,0.0005
29,0.036472779407373285,0.03125682297610552,0.0005
30,0.0356662721456147,0.03471576717965764,0.0005
31,0.03555839470893864,0.03537380201013731,0.0005
32,0.03528621758359481,0.03785955896926502,0.0005
33,0.034774927313394086,0.033083054356388565,0.0005
34,0.03447844533968893,0.030253213157756455,0.0005
35,0.03431347804144025,0.0305722027710219,0.0005
36,0.03387349762574263,0.03053497710573594,0.0005
37,0.033507327180798026,0.030519023272650513,0.0005
38,0.03349982425790919,0.033866883833550174,0.0005
39,0.03296987504488926,0.0327008891023212,0.0005
40,0.029937289062454835,0.03312501000603057,0.00025
41,0.02918605439059406,0.029060248341318373,0.00025
42,0.028796154849927667,0.029701530716433104,0.00025
43,0.028781235745275177,0.02785634177856259,0.00025
44,0.028508284971405222,0.028673264282459577,0.00025
45,0.028315284018960683,0.026862839466974313,0.00025
46,0.02808891886193581,0.02736281236004512,0.00025
47,0.027927342520288976,0.026549330312826868,0.00025
48,0.027551018922264584,0.0334581761681374,0.00025
49,0.027378887916689864,0.028093341714741288,0.00025
50,0.0272607889969092,0.027033067305267056,0.00025
51,0.02730469028670382,0.02694869844224335,0.00025
52,0.027063475581286914,0.026269593018846286,0.00025
53,0.026753898783805283,0.027301706235775238,0.00025
54,0.026751986364389704,0.030659375760313773,0.00025
55,0.026731508092564867,0.027190434901406383,0.00025
56,0.026412268027493774,0.025634810906492434,0.00025
57,0.02632604508224004,0.026656909170134392,0.00025
58,0.026151399981966188,0.02861540552582003,0.00025
59,0.026166647932607236,0.026747491855341664,0.00025
60,0.025832371696772622,0.03012533911415523,0.00025
61,0.02595669673554277,0.026473249454429363,0.00025
62,0.024150921926560216,0.02681712082164136,0.000125
63,0.024026145877526005,0.027336650250631443,0.000125
64,0.023949706904295993,0.027582605327549276,0.000125
65,0.023793786310796768,0.026967232783453636,0.000125
66,0.023502057435491452,0.02626002728613636,0.000125
67,0.022888666443776795,0.02628051757211247,6.25e-05
68,0.0226323563958926,0.02485996688841633,6.25e-05
69,0.02258277940365814,0.02583564099810782,6.25e-05
70,0.022339677821569967,0.02505092730066939,6.25e-05
71,0.022408687312155274,0.026024748909809377,6.25e-05
72,0.02235024593706441,0.026453278968095184,6.25e-05
73,0.022216374099154036,0.026400842592306125,6.25e-05
74,0.021999775632935543,0.027797342520579076,3.125e-05
75,0.021835721980214818,0.026127233812291047,3.125e-05
76,0.021650001046918717,0.02488756933390549,3.125e-05
77,0.021702006722978846,0.02542606998969508,3.125e-05
78,0.021801476980495466,0.025655773356742847,3.125e-05
79,0.021570871385298642,0.02645696943297288,1.5625e-05
80,0.021502906333113685,0.025954881423430366,1.5625e-05
81,0.021432281465503144,0.02659302253815378,1.5625e-05
82,0.021421846915838948,0.025978026583096548,1.5625e-05
83,0.021359088166944748,0.025871019299837844,1.5625e-05
84,0.021342843196309344,0.025733574466336635,1e-05
85,0.021307457862790403,0.02714124783104946,1e-05
86,0.021216379292068186,0.02526565895225239,1e-05
87,0.0211691726344402,0.025604323155483766,1e-05
88,0.021197053517721946,0.02649164526954219,1e-05
