name,true_pld,proxy_pld,abs_error,signed_error
wft+N446+E54,7.71783,6.5754547119140625,1.1423752880859377,-1.1423752880859377
wjp+N206+E128,7.626530000000001,6.605210781097412,1.0213192189025886,-1.0213192189025886
skc+N651+E105,8.573030000000001,7.882718086242676,0.6903119137573253,-0.6903119137573253
bsn+N143+E201,6.81505,6.085789203643799,0.7292607963562014,-0.7292607963562014
yfy+N651+E19,8.84675,8.357953071594238,0.48879692840576183,-0.48879692840576183
dia+N113+E63,8.95123,8.22304630279541,0.7281836972045905,-0.7281836972045905
cco+N83+E67,2.4666900000000003,1.4211493730545044,1.0455406269454959,-1.0455406269454959
gan+N671+E160,7.19258,6.215939044952393,0.9766409550476078,-0.9766409550476078
ecp+N566+E226,6.1365,4.978986740112305,1.1575132598876952,-1.1575132598876952
wfe+N38+E18,4.8377099999999995,3.945079803466797,0.8926301965332026,-0.8926301965332026
fcu+N107+E25,2.71215,1.8186320066452026,0.8935179933547972,-0.8935179933547972
qtz-e+N41+E217,5.00914,4.1573076248168945,0.8518323751831058,-0.8518323751831058
fnq+N572+E204,5.115530000000001,4.596597671508789,0.5189323284912115,-0.5189323284912115
upb+N73+E69,5.87814,5.190271377563477,0.6878686224365236,-0.6878686224365236
wiu+N465+E168,4.23418,3.616187334060669,0.6179926659393313,-0.6179926659393313
hcp+N8+E48,0.3757,0.0,0.3757,-0.3757
bct+N83+E107,7.3220600000000005,6.8548736572265625,0.46718634277343796,-0.46718634277343796
tcc+N344+E139,1.8101,0.8049071431159973,1.0051928568840027,-1.0051928568840027
wjl+N391+E16,7.560739999999999,6.2532548904418945,1.3074851095581046,-1.3074851095581046
vmf+N554+E180,6.67197,5.902988433837891,0.7689815661621093,-0.7689815661621093
vcj+N446+E15,6.56918,6.105986595153809,0.46319340484619165,-0.46319340484619165
zfi+N172+E168,5.51694,4.749410629272461,0.767529370727539,-0.767529370727539
sth+N172+E131,8.34106,7.053828716278076,1.2872312837219244,-1.2872312837219244
ftb+N254+E167,3.5102599999999997,2.2382030487060547,1.272056951293945,-1.272056951293945
reo+N35+E215,5.60351,5.218574047088623,0.38493595291137694,-0.38493595291137694
fit+N663+N671+E73,5.56035,4.806980609893799,0.7533693901062009,-0.7533693901062009
wjs+N254+E84,5.7214,4.664679050445557,1.0567209495544434,-1.0567209495544434
vmf+N86+E15,8.3772,7.488194465637207,0.8890055343627932,-0.8890055343627932
tce+N83+E168,3.74175,2.900477409362793,0.8412725906372072,-0.8412725906372072
ukl+N317+E81,1.4691299999999998,0.0,1.4691299999999998,-1.4691299999999998
whh+N612+E70,3.8641,3.2655019760131836,0.5985980239868165,-0.5985980239868165
vmj+N356+E151,7.87803,6.910201549530029,0.9678284504699706,-0.9678284504699706
wjv+N391+E216,6.688460000000001,5.643949508666992,1.0445104913330088,-1.0445104913330088
rac+N310+E52,8.051810000000001,7.679248332977295,0.37256166702270654,-0.37256166702270654
zfp+N364+E175,6.9713199999999995,5.897732734680176,1.0735872653198237,-1.0735872653198237
ukh+N276+E108,8.60693,7.528156280517578,1.078773719482422,-1.078773719482422
hcp+N8+E177,1.2239200000000001,0.0,1.2239200000000001,-1.2239200000000001
nce+N444+E184,3.85635,3.3223419189453125,0.5340080810546874,-0.5340080810546874
reo-e+N589+E14,7.6726,6.70294713973999,0.9696528602600099,-0.9696528602600099
vmu+N542+E29,7.116289999999999,5.795099258422852,1.3211907415771478,-1.3211907415771478
qtz-e+N560+E0,5.97649,5.454322814941406,0.5221671850585938,-0.5221671850585938
sol+N354+E130,7.5023,6.773255348205566,0.7290446517944336,-0.7290446517944336
wjv+N133+E226,2.78287,1.6871047019958496,1.0957652980041503,-1.0957652980041503
uoo+N627+E16,8.1075,7.315288543701172,0.792211456298828,-0.792211456298828
mdf+N305+E206,5.59465,4.946230411529541,0.6484195884704587,-0.6484195884704587
rgd+N452+E206,4.04744,2.5191380977630615,1.5283019022369384,-1.5283019022369384
wig+N554+E139,6.851,6.033548355102539,0.8174516448974609,-0.8174516448974609
rkf+N668+E175,8.28943,7.508757591247559,0.7806724087524408,-0.7806724087524408
vmr+N284+E165,3.5276699999999996,2.8901638984680176,0.6375061015319821,-0.6375061015319821
wjs+N482+E44,7.04142,6.063848972320557,0.9775710276794429,-0.9775710276794429
whw+N567+E128,8.48734,7.665284156799316,0.8220558432006833,-0.8220558432006833
zfg+N383+E51,4.9692300000000005,4.547165393829346,0.4220646061706548,-0.4220646061706548
zfs+N242+E0,8.893089999999999,8.450150489807129,0.44293951019287015,-0.44293951019287015
rtl+N579+N108+E58,7.62104,7.079826831817627,0.5412131681823729,-0.5412131681823729
svn+N583+E72,5.36299,4.74458122253418,0.6184087774658202,-0.6184087774658202
cdl+N87+E72,4.92272,3.81721830368042,1.10550169631958,-1.10550169631958
dag+N354+N474+E48,5.90479,5.025732517242432,0.8790574827575686,-0.8790574827575686
vmz+N380+E67,3.39494,2.7127068042755127,0.6822331957244874,-0.6822331957244874
vcs+N192+E5,5.93645,5.155372142791748,0.7810778572082517,-0.7810778572082517
