target,feature,pearson,spearman,abs_pearson,abs_spearman
PLD,ch0_q95,0.8084738211790242,0.8329214599246211,0.8084738211790242,0.8329214599246211
PLD,ch0_q75,0.8399862639368558,0.8207668227274345,0.8399862639368558,0.8207668227274345
PLD,ch0_mean,0.812937429961805,0.7956140432908354,0.812937429961805,0.7956140432908354
PLD,ch0_q50,0.8067691378415611,0.7796774647721927,0.8067691378415611,0.7796774647721927
PLD,ch0_pos_frac,0.8040423957190841,0.7618042314583884,0.8040423957190841,0.7618042314583884
PLD,ch0_neg_frac,-0.8040423957190841,-0.7618042314583884,0.8040423957190841,0.7618042314583884
PLD,all_q25,0.7625521179393874,0.7326633820357171,0.7625521179393874,0.7326633820357171
PLD,ch0_max,0.6714939779898856,0.7309985728945421,0.6714939779898856,0.7309985728945421
PLD,all_neg_frac,-0.7687534975592527,-0.7301803018352784,0.7687534975592527,0.7301803018352784
PLD,all_pos_frac,0.7687534975592526,0.7301803018352784,0.7687534975592526,0.7301803018352784
PLD,ch0_q25,0.7451622506028238,0.7254783979810114,0.7451622506028238,0.7254783979810114
PLD,ch0_std,0.5849084862526778,0.698040616323696,0.5849084862526778,0.698040616323696
PLD,all_q05,0.6391559858362789,0.6637649064049247,0.6391559858362789,0.6637649064049247
PLD,all_mean,0.6241149521692568,0.6404859042443559,0.6241149521692568,0.6404859042443559
PLD,all_q50,0.41797129366968594,0.6306376074571179,0.41797129366968594,0.6306376074571179
PLD,ch0_q05,0.621186032933356,0.6199311844343276,0.621186032933356,0.6199311844343276
PLD,all_std,-0.5060906740299219,-0.6026488694130805,0.5060906740299219,0.6026488694130805
PLD,ch3_q95,0.3553009987251401,0.5051533956128192,0.3553009987251401,0.5051533956128192
PLD,ch3_std,0.28941314878744967,0.4972774989465168,0.28941314878744967,0.4972774989465168
PLD,ch3_max,0.42777416062024864,0.4886786934024353,0.42777416062024864,0.4886786934024353
LCD,ch0_max,0.9677875527782573,0.9607932653004392,0.9677875527782573,0.9607932653004392
LCD,ch0_q95,0.939200527680563,0.9309655077563952,0.939200527680563,0.9309655077563952
LCD,ch0_q75,0.8318172211543715,0.8452070718714176,0.8318172211543715,0.8452070718714176
LCD,ch0_std,0.8342700627711273,0.8407680363006842,0.8342700627711273,0.8407680363006842
LCD,ch0_mean,0.7970819266199433,0.8192917364759624,0.7970819266199433,0.8192917364759624
LCD,ch0_q50,0.7549216206714093,0.7761484101628395,0.7549216206714093,0.7761484101628395
LCD,ch0_neg_frac,-0.7162425031949967,-0.747595385212298,0.7162425031949967,0.747595385212298
LCD,ch0_pos_frac,0.7162425031949966,0.747595385212298,0.7162425031949966,0.747595385212298
LCD,ch0_q25,0.6661020378088182,0.702062262283835,0.6661020378088182,0.702062262283835
LCD,all_q25,0.6692730827743789,0.6774809782546132,0.6692730827743789,0.6774809782546132
LCD,all_neg_frac,-0.6499294967027655,-0.6746078304523673,0.6499294967027655,0.6746078304523673
LCD,all_pos_frac,0.6499294967027652,0.6746078304523673,0.6499294967027652,0.6746078304523673
LCD,ch3_max,0.6421836220266463,0.6224103978997706,0.6421836220266463,0.6224103978997706
LCD,all_q05,0.543751153786412,0.6108469264511406,0.543751153786412,0.6108469264511406
LCD,ch1_max,0.637543669071912,0.6028890391067243,0.637543669071912,0.6028890391067243
LCD,all_mean,0.5851655176695348,0.5984190905267462,0.5851655176695348,0.5984190905267462
LCD,all_q50,0.37958207051251447,0.5805032169567809,0.37958207051251447,0.5805032169567809
LCD,ch0_q05,0.5238882008386624,0.5793920472966414,0.5238882008386624,0.5793920472966414
LCD,ch3_std,0.38580457969890214,0.5583764568453253,0.38580457969890214,0.5583764568453253
LCD,ch1_std,0.5196754068491181,0.548065842611323,0.5196754068491181,0.548065842611323
VF,ch0_pos_frac,0.9902941348923723,0.9935818182300914,0.9902941348923723,0.9935818182300914
VF,ch0_neg_frac,-0.9902941348923723,-0.9935818182300914,0.9902941348923723,0.9935818182300914
VF,ch0_q50,0.9842418221969291,0.9931158327693886,0.9842418221969291,0.9931158327693886
VF,ch0_mean,0.9781972489576977,0.9862230074663465,0.9781972489576977,0.9862230074663465
VF,ch0_q25,0.9688999037641224,0.9853860412166925,0.9688999037641224,0.9853860412166925
VF,ch0_q75,0.9643269091864054,0.972318662454355,0.9643269091864054,0.972318662454355
VF,all_neg_frac,-0.9265056260125011,-0.948557272769055,0.9265056260125011,0.948557272769055
VF,all_pos_frac,0.926505626012501,0.948557272769055,0.926505626012501,0.948557272769055
