target,model,n_train,n_test,r2,mae,spearman
PLD,ridge,4000,1000,0.7689383585224341,0.6394778713893242,0.8522580482580483
PLD,extra_trees,4000,1000,0.8068836184575177,0.5763472701583332,0.8747659187659188
LCD,ridge,4000,1000,0.9553799950232457,0.4534634983378628,0.9723600723600724
LCD,extra_trees,4000,1000,0.9523942643620957,0.45254494198888906,0.9696802296802296
VF,ridge,4000,1000,0.9872291030083301,0.008384409913469984,0.9947263694257741
VF,extra_trees,4000,1000,0.9876943769278098,0.008126614397222206,0.9950883558083937
GCD,ridge,4000,1000,0.9867125816519662,0.2222818768184236,0.9937459777459778
GCD,extra_trees,4000,1000,0.9924795773238761,0.17812051722777783,0.9951140151140152
