epoch,train_loss,val_loss
1,0.8840983659580902,0.8998780697584152
2,0.8058887561714208,0.9437039727965991
3,0.7757305550906394,0.7224888861179352
4,0.7520126549182115,0.7239094754060109
5,0.7399157958450141,0.7306982278823853
6,0.7586692147508816,0.8807854572931926
7,0.7338569228019979,0.7117547700802486
8,0.7353957969281408,0.6835666169722875
9,0.7372006516489717,0.7022900715470314
10,0.7295596476506304,0.6924420028924942
11,0.6985819174735635,0.7020959094166755
12,0.712863246627428,0.7023498227198919
13,0.6964487499660916,0.6696294158697128
14,0.6861876145281174,0.6649963359038035
15,0.6793589436621578,0.6527190148830414
16,0.6897968996178221,0.663562755783399
17,0.6886983325911893,0.6736048956712087
18,0.6786300686222536,0.6904279723763466
19,0.6944295449389352,0.6434380675355593
20,0.6793262110264213,0.6442722762624423
21,0.6721131943166256,0.679553771018982
22,0.6913490805636954,0.8649832348028819
23,0.6998268285007389,0.6665867537260055
24,0.6729106202445648,0.6688634216785431
25,0.653783531597367,0.6656790306170781
26,0.6444410871300432,0.6554082165161769
27,0.660481041835414,0.6519869630535443
28,0.6701051531566514,0.633952767153581
29,0.6561559071695363,0.6871501505374908
30,0.6594992968633219,0.7057331119974454
31,0.6513151387787528,0.6784108663598697
32,0.6394458848845076,0.6624938850601514
33,0.6486070150578463,0.6734076142311096
34,0.6410993233599045,0.7057229985793432
35,0.6329728832399404,0.6912738000353177
36,0.6285369744455372,0.6723074813683828
37,0.6356040354680133,0.7127560819188754
38,0.646425958805614,0.709467421968778
39,0.6224577994120342,0.6663520594437917
40,0.627447266711129,0.7151843935251236
