name,true_pld,proxy_pld,abs_error,signed_error,proxy_pld_calibrated,raw_abs_error,raw_signed_error,cal_abs_error,cal_signed_error
wft+N446+E54,7.71783,6.575454711914063,1.1423752880859377,-1.1423752880859377,7.338125629245135,1.1423752880859368,-1.1423752880859368,0.3797043707548653,-0.3797043707548653
wjp+N206+E128,7.626530000000002,6.605210781097412,1.0213192189025886,-1.0213192189025886,7.366923561368968,1.0213192189025895,-1.0213192189025895,0.2596064386310335,-0.2596064386310335
skc+N651+E105,8.573030000000001,7.882718086242676,0.6903119137573253,-0.6903119137573253,8.603295490557132,0.6903119137573253,-0.6903119137573253,0.030265490557130903,0.030265490557130903
bsn+N143+E201,6.81505,6.085789203643799,0.7292607963562014,-0.7292607963562014,6.864227212634383,0.7292607963562014,-0.7292607963562014,0.04917721263438235,0.04917721263438235
yfy+N651+E19,8.84675,8.357953071594237,0.4887969284057618,-0.4887969284057618,9.063228043028921,0.4887969284057636,-0.4887969284057636,0.21647804302892126,0.21647804302892126
dia+N113+E63,8.95123,8.22304630279541,0.7281836972045905,-0.7281836972045905,8.932665234246095,0.7281836972045905,-0.7281836972045905,0.018564765753906087,-0.018564765753906087
cco+N83+E67,2.4666900000000003,1.4211493730545044,1.045540626945496,-1.045540626945496,2.3497874727709362,1.0455406269454959,-1.0455406269454959,0.11690252722906402,-0.11690252722906402
gan+N671+E160,7.19258,6.215939044952393,0.9766409550476078,-0.9766409550476078,6.9901862656543905,0.9766409550476078,-0.9766409550476078,0.20239373434560992,-0.20239373434560992
ecp+N566+E226,6.1365,4.978986740112305,1.1575132598876952,-1.1575132598876952,5.793063477166706,1.1575132598876952,-1.1575132598876952,0.3434365228332936,-0.3434365228332936
wfe+N38+E18,4.83771,3.945079803466797,0.8926301965332026,-0.8926301965332026,4.792448053119422,0.8926301965332035,-0.8926301965332035,0.045261946880578385,-0.045261946880578385
fcu+N107+E25,2.71215,1.8186320066452024,0.8935179933547972,-0.8935179933547972,2.734471277342561,0.8935179933547974,-0.8935179933547974,0.022321277342561174,0.022321277342561174
qtz-e+N41+E217,5.00914,4.157307624816895,0.8518323751831058,-0.8518323751831058,4.9978421983060795,0.851832375183105,-0.851832375183105,0.011297801693920917,-0.011297801693920917
fnq+N572+E204,5.1155300000000015,4.596597671508789,0.5189323284912115,-0.5189323284912115,5.422987229034383,0.5189323284912124,-0.5189323284912124,0.3074572290343811,0.3074572290343811
