pld_bin,count,true_pld_mean,raw_mae,raw_bias,cal_mae,cal_bias
"(0.375, 5.049]",50,3.6258269999999997,0.8572734342594148,-0.8572734342594148,0.23983177571905365,0.0279786293779423
"(5.049, 6.68]",50,5.903433199999999,0.7403963195068362,-0.7403963195068362,0.16543276314721292,0.0677540547870308
"(6.68, 7.919]",50,7.244223800000001,0.8133792927825927,-0.8133792927825927,0.182112559315174,-0.04605196752847265
"(7.919, 8.986]",50,8.447047,0.777109599182129,-0.777109599182129,0.1952450060608804,-0.04968071663650612
